-1,-1,-1,1,0,0
-1,0,5,-1,5,0
-1,-1,6,3,9,0
-1,2,9,4,21,0
-1,3,10,-1,25,0
1,-1,12,6,5,3
2,5,13,-1,9,3
-1,-1,14,8,13,3
-1,7,24,-1,17,3
3,-1,25,10,21,3
4,9,26,-1,25,3
-1,-1,-1,12,0,6
5,11,15,-1,5,6
6,-1,16,14,9,6
7,13,20,-1,13,6
12,-1,18,16,5,9
13,15,19,-1,9,9
-1,-1,-1,18,0,12
15,17,21,-1,5,12
16,-1,22,20,9,12
14,19,23,-1,13,12
18,-1,28,22,5,15
19,21,29,-1,9,15
20,-1,-1,24,13,15
8,23,-1,-1,17,15
9,-1,31,26,21,15
10,25,32,-1,25,15
-1,-1,-1,28,0,18
21,27,-1,-1,5,18
22,-1,34,30,9,18
-1,29,35,31,13,18
25,30,36,32,21,18
26,31,37,-1,25,18
38,-1,-1,34,0,25
29,33,-1,35,9,25
30,34,-1,36,13,25
31,35,-1,37,21,25
32,36,-1,-1,25,25
-1,-1,33,-1,0,23
